series id,Name,Rarity,Price,Image
0,Garbodor,Uncommon,$0.06,https://tcgplayer-cdn.tcgplayer.com/product/253383_25w.jpg
0,Genesect V (Alternate Full Art),Ultra Rare,$32.01,https://tcgplayer-cdn.tcgplayer.com/product/253155_25w.jpg
0,Gengar V,Ultra Rare,$4.19,https://tcgplayer-cdn.tcgplayer.com/product/253370_25w.jpg
0,Gengar VMAX (Alternate Art Secret),Secret Rare,$96.04,https://tcgplayer-cdn.tcgplayer.com/product/253266_25w.jpg
0,Gligar,Common,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253348_25w.jpg
0,Golem,Rare,$0.13,https://tcgplayer-cdn.tcgplayer.com/product/253342_25w.jpg
0,Goomy,Common,$0.06,https://tcgplayer-cdn.tcgplayer.com/product/253353_25w.jpg
0,Gossifleur,Common,$0.02,https://tcgplayer-cdn.tcgplayer.com/product/253115_25w.jpg
0,Grapploct,Uncommon,$0.08,https://tcgplayer-cdn.tcgplayer.com/product/253367_25w.jpg
0,Graveler,Uncommon,$0.06,https://tcgplayer-cdn.tcgplayer.com/product/253341_25w.jpg
0,Greedent V (Alternate Full Art),Ultra Rare,$14.16,https://tcgplayer-cdn.tcgplayer.com/product/253157_25w.jpg
0,Greedent VMAX,Ultra Rare,$2.33,https://tcgplayer-cdn.tcgplayer.com/product/253317_25w.jpg
0,Greninja V,Ultra Rare,$1.08,https://tcgplayer-cdn.tcgplayer.com/product/253223_25w.jpg
0,Growlithe,Common,$0.02,https://tcgplayer-cdn.tcgplayer.com/product/253129_25w.jpg
0,Hariyama,Uncommon,$0.05,https://tcgplayer-cdn.tcgplayer.com/product/253355_25w.jpg
0,Heatmor,Uncommon,$0.06,https://tcgplayer-cdn.tcgplayer.com/product/253150_25w.jpg
0,Helioptile,Common,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253254_25w.jpg
0,Huntail,Rare,$0.10,https://tcgplayer-cdn.tcgplayer.com/product/253209_25w.jpg
0,Indeedee,Common,$0.06,https://tcgplayer-cdn.tcgplayer.com/product/253318_25w.jpg
0,Inteleon VMAX,Ultra Rare,$3.01,https://tcgplayer-cdn.tcgplayer.com/product/253233_25w.jpg
0,Jigglypuff,Common,$0.06,https://tcgplayer-cdn.tcgplayer.com/product/253268_25w.jpg
0,Jynx,Common,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253273_25w.jpg
0,Klefki,Common,$0.02,https://tcgplayer-cdn.tcgplayer.com/product/253335_25w.jpg
0,Lapras,Uncommon,$0.09,https://tcgplayer-cdn.tcgplayer.com/product/253185_25w.jpg
0,Latios,Rare,$0.11,https://tcgplayer-cdn.tcgplayer.com/product/253351_25w.jpg
0,Lopunny,Uncommon,$0.05,https://tcgplayer-cdn.tcgplayer.com/product/253310_25w.jpg
0,Luxio,Uncommon,$0.08,https://tcgplayer-cdn.tcgplayer.com/product/253248_25w.jpg
0,Magcargo,Uncommon,$0.10,https://tcgplayer-cdn.tcgplayer.com/product/253132_25w.jpg
0,Mandibuzz,Uncommon,$0.05,https://tcgplayer-cdn.tcgplayer.com/product/253387_25w.jpg
0,Mantine,Common,$0.03,https://tcgplayer-cdn.tcgplayer.com/product/253195_25w.jpg
0,Marill,Common,$0.06,https://tcgplayer-cdn.tcgplayer.com/product/253189_25w.jpg
0,Mawile,Common,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253290_25w.jpg
0,Meloetta,Rare,$0.15,https://tcgplayer-cdn.tcgplayer.com/product/253308_25w.jpg
0,Meowth,Common,$0.03,https://tcgplayer-cdn.tcgplayer.com/product/253291_25w.jpg
0,Mew V,Ultra Rare,$5.33,https://tcgplayer-cdn.tcgplayer.com/product/253274_25w.jpg
0,Mew V (Full Art),Ultra Rare,$25.12,https://tcgplayer-cdn.tcgplayer.com/product/253146_25w.jpg
